Date,Open,High,Low,Close,Adj Close,Volume
10/1/10,47.860001,51.75,47.349998,49.490002,42.083153,28979000
11/1/10,49.669998,49.700001,45.939999,46.799999,39.795734,24080300
12/1/10,47.189999,48.560001,45.669998,47.150002,40.371059,22581100
1/1/11,47.32,50.009998,46.240002,46.689999,39.977192,23255700
2/1/11,46.790001,52.529999,46.790001,52.32,44.797749,31242100
3/1/11,52.439999,55.049999,52.119999,54.349998,46.85022,29770700
4/1/11,54.459999,58.200001,54.139999,57.709999,49.746574,24047900
5/1/11,57.709999,57.98,53.77,55.73,48.039795,29677800
6/1/11,55.75,57.259998,53.799999,56.849998,49.308258,23868500
7/1/11,57.02,59.450001,56.029999,56.439999,48.952656,24764200
8/1/11,56.84,58.91,53.830002,58.650002,50.869473,41339000
9/1/11,58.790001,60.959999,55.779999,59.240002,51.698296,26028700
10/1/11,59.029999,60.900002,56.400002,57.23,49.94418,28792800
11/1/11,56.389999,58.880001,55.32,57.68,50.336899,29606300
12/1/11,57.68,62.259998,57.5,61.779999,54.247532,21230100
1/1/12,62.099998,62.380001,60.52,61.080002,53.63287,18827500
2/1/12,61,61.919998,59.32,60.700001,53.299213,32466200
3/1/12,60.77,61.599998,59.43,61.330002,54.191772,21086800
4/1/12,61.330002,67.129997,59.509998,67.010002,59.210667,31096200
5/1/12,67,69.459999,66.510002,66.860001,59.078125,29965300
6/1/12,66.110001,72.029999,65.43,72.029999,64.004593,28825500
7/1/12,71.970001,72.970001,70.059998,71.739998,63.746902,19194900
8/1/12,72,73.160004,70.720001,71.82,63.817993,20263800
9/1/12,71.970001,73.419998,69.849998,70.889999,63.323627,15129600
10/1/12,71.029999,72,68.089996,68.849998,61.501381,17534500
11/1/12,68.879997,73.290001,68.230003,73.269997,65.449623,18910400
12/1/12,73.279999,74.709999,70.949997,72.220001,64.887054,15475800
1/1/13,72.860001,79.959999,72.540001,79.449997,71.382942,22579200
2/1/13,80,83.669998,78.449997,83.339996,74.877991,23439000
3/1/13,83,87.620003,82.57,87.529999,79.053223,18791200
4/1/13,87.349998,91.989998,84.839996,89.160004,80.525368,26464900
5/1/13,88.919998,91.300003,87.32,89.110001,80.480209,25154700
6/1/13,89.010002,90.120003,85.139999,89.279999,81.018448,24255500
7/1/13,89.419998,95.419998,88.75,94.870003,86.091171,18751900
8/1/13,95.480003,98,90.239998,91.949997,83.441376,16449400
9/1/13,92.779999,94.32,89.279999,92.5,84.370087,13591400
10/1/13,92.269997,101.370003,90.550003,99.239998,90.517693,15962900
11/1/13,99.349998,99.989998,94.510002,96.889999,88.374237,13291100
12/1/13,96.739998,97.849998,93.150002,97.230003,89.139587,12066000
1/1/14,97.18,99.980003,95.18,99.400002,91.129021,20000600
2/1/14,98.970001,108.690002,97.660004,105.82,97.014809,27067600
3/1/14,105.309998,107.540001,102.510002,104.400002,96.145889,19169300
4/1/14,103.75,104.68,95.110001,96.239998,88.63105,27125200
5/1/14,96.029999,98.290001,95.339996,97.339996,89.644081,21888500
6/1/14,97.330002,100.160004,95.93,97.370003,90.120224,18775400
7/1/14,97.739998,97.739998,88.099998,88.150002,81.586731,29009200
8/1/14,88.400002,92.720001,87.879997,91.419998,84.613251,23244700
9/1/14,91.410004,95.650002,89.629997,95.43,88.841545,23531000
10/1/14,95.07,96,89.669998,95.910004,89.288399,25586900
11/1/14,96,100.449997,94.949997,100.279999,93.356689,19332200
12/1/14,100.239998,107,97.699997,103.93,97.300987,21040600
